NOC,Games,Year,Season,City,Sport,Event,Medal,NOC_Year_Event_Medal,region
SUI,1920 Summer,1920,Summer,Antwerpen,Shooting,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team",Bronze,"SUI1920Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, TeamBronze",Switzerland
NGR,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,Silver,NGR2008Football Men's FootballSilver,Nigeria
BRA,1984 Summer,1984,Summer,Los Angeles,Football,Football Men's Football,Silver,BRA1984Football Men's FootballSilver,Brazil
BRA,1988 Summer,1988,Summer,Seoul,Football,Football Men's Football,Silver,BRA1988Football Men's FootballSilver,Brazil
NGR,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 4 x 100 metres Relay,Silver,NGR1992Athletics Men's 4 x 100 metres RelaySilver,Nigeria
BRA,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,Gold,BRA2012Volleyball Women's VolleyballGold,Brazil
FRA,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Bronze,"FRA1992Canoeing Men's Canadian Doubles, SlalomBronze",France
FRA,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Gold,"FRA1996Canoeing Men's Canadian Doubles, SlalomGold",France
GER,2010 Winter,2010,Winter,Vancouver,Bobsleigh,Bobsleigh Men's Two,Silver,GER2010Bobsleigh Men's TwoSilver,Germany
USA,1952 Summer,1952,Summer,Helsinki,Boxing,Boxing Men's Light-Welterweight,Gold,USA1952Boxing Men's Light-WelterweightGold,USA
USA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 400 metres Hurdles,Gold,USA1996Athletics Men's 400 metres HurdlesGold,USA
